model,repeat,case_id,policy_id,tier,condition,condition_label,instruction,expected_command,full_response,scored_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,failure_class,final_extraction_error,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,"Scratchpad:
- Bot 1 shield: false
- Bot 2 shield: true
- Shields are not in the same state

FINAL: M",M,M,True,True,True,True,correct,,14775.394,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,"Scratchpad:
- Bot 1 shield: false
- Bot 2 shield: true
- Shields are not in the same state (false != true)

FINAL: M",M,M,True,True,True,True,correct,,3082.665,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",C90.0,"Scratchpad:
- Bot 1's x: 0.4
- Bot 2's x: 0.7
- Horizontal distance: |0.7 - 0.4| = 0.3
- 0.3 < 0.4 → True

FINAL: C90",C90,C90.0,True,True,True,True,correct,,6174.779,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",C90.0,"Scratchpad:
- Bot 1's x: 0.4
- Bot 2's x: 0.7
- Horizontal distance: |0.7 - 0.4| = 0.3
- 0.3 < 0.4 → True

FINAL: A90",A90,A90.0,True,False,False,False,action_error,,5975.789,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 2 health: 10
- Bot 1 health (20) >= Bot 2 health (10) is True

FINAL: B",B,B,True,True,True,True,correct,,5052.095,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 2 health: 10
- Bot 1 health (20) > Bot 2 health (10) → True

FINAL: B",B,B,True,True,True,True,correct,,4430.709,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 1 shield: false
- Condition 1: health >= 15 (20 >= 15 is true)
- Condition 2: shield is true (false is false)
- Either condition 1 or condition 2 is true (true or false is true)

FINAL: B",B,B,True,True,True,True,correct,,7396.701,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 1 shield: false
- Condition 1: health >= 15 (20 >= 15 is true)
- Condition 2: shield is true (false is false)
- Either condition 1 or condition 2 is true, so fire

FINAL: B",B,B,True,True,True,True,correct,,6834.241,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",B,"Let's analyze the given state and policy step by step.

### Current State:
- **Bot 1 (You):**
  - Health: 25
  - Shield: false
  - Position: (x=0.2, y=0.5)
  - Rotation: 0.0 degrees

- **Bot 2 (Opponent):**
  - Health: 10
  - Shield: false
  - Position: (x=0.8, y=0.5)
  - Rotation: 180.0 degrees

### Policy:
1. **Check if your health is at least 10 points more than the opponent's health:**
   - Your health: 25
   - Opponent's health: 10
   - Difference: 25 - 10 = 15
   - 15 >= 10 → True

2. **If the condition is true, fire; otherwise, set the shield on.**

Since the condition is true, the action is to fire.

### FINAL: B",,ERR,False,False,False,False,final_extraction_error,"expected exactly one FINAL line, found 0",21590.142,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",B,"Let's analyze the given state and policy step by step.

### Current State:
- **Bot 1 (You):**
  - Health: 25
  - Shield: false
  - Position: (x=0.2, y=0.5)
  - Rotation: 0.0 degrees

- **Bot 2 (Opponent):**
  - Health: 10
  - Shield: false
  - Position: (x=0.8, y=0.5)
  - Rotation: 180.0 degrees

### Policy:
1. **Check if your health is at least 10 points more than the opponent's health.**
   - Your health: 25
   - Opponent's health: 10
   - Difference: 25 - 10 = 15
   - 15 >= 10 → True

2. **If the condition is true, fire; otherwise, set the shield on.**
   - Since the condition is true, the action is to fire.

### Scratchpad:
- Health difference: 25 - 10 = 15
- 15 >= 10 → True
",,ERR,False,False,False,False,final_extraction_error,"expected exactly one FINAL line, found 0",24192.503,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 1 shield: true
- Condition 1: health >= 15 (20 >= 15) → true
- Condition 2: shield is true → true
- Either condition 1 or condition 2 is true → true

FINAL: B",B,B,True,True,True,True,correct,,7913.287,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,"Scratchpad:
- Bot 1 health: 20
- Bot 1 shield: true

Policy:
- If health >= 15 or shield is on, fire.
- Else, set shield on.

Since bot 1's shield is on, the condition is satisfied.

FINAL: B",B,B,True,True,True,True,correct,,6414.853,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,"Scratchpad:
- Bot 1 shield: true
- Bot 2 shield: false
- Shields are not in the same state

FINAL: M",M,M,True,True,True,True,correct,,4293.552,
