model,repeat,case_id,policy_id,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,12913.379,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,330.127,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,333.984,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",C90.0,M0.1,M0.1,True,False,False,False,1110.972,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",C90.0,B,B,True,False,False,False,521.3,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",C90.0,B,B,True,False,False,False,519.952,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,938.684,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",B,B,B,True,True,True,True,365.051,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,345.244,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,762.861,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,345.502,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,343.813,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",B,S1,S1,True,False,False,False,1006.372,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,True,False,False,False,405.913,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",B,S1,S1,True,False,False,False,405.925,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,936.635,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,349.451,
