model,repeat,case_id,policy_id,tier,language,language_label,order,interface,instruction,expected_command,first_position_command,second_position_command,full_response,response_chars,scored_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,selected_first_position,selected_second_position,final_extraction_error,latency_ms,provider_error,ollama_done,ollama_done_reason,ollama_eval_count,ollama_prompt_eval_count,ollama_eval_duration,ollama_prompt_eval_duration,ollama_total_duration
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_standard,Tuteo Spanish,b_first,deliberative_budget_1024,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",S1,M,S1,"Scratchpad:
- Bot 1 health: 14
- Condition: health >= 15 → 14 >= 15 → False
- Condition: health < 15 → 14 < 15 → True

Since the health is less than 15, the policy dictates to set the shield on.

FINAL: S1",205,S1,S1,True,True,True,True,False,True,,19889.031,,True,stop,78,366,4878932000,3761396000,19884412333
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,deliberative_budget_1024,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",S1,S1,B,"Scratchpad:
- Bot 1 health: 10 (less than 15)
- Bot 1 shield: false (off)
- Condition 1: health < 15 AND shield is off → True
- Condition 2: health >= 15 OR shield is on → False

Since condition 1 is true, the policy dictates to set the shield on.

FINAL: S1",258,S1,S1,True,True,True,True,True,False,,6667.025,,True,stop,87,380,5503018000,1147176000,6661843334
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,deliberative_budget_1024,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",M,B,M,"Scratchpad:
- Bot 1 shield: false
- Bot 2 shield: true
- Shields are in different states (one is on, one is off)

FINAL: M",122,M,M,True,True,True,True,False,True,,3393.416,,True,stop,40,366,2497306000,877853000,3388744333
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,a_first,deliberative_budget_1024,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",C90.0,M0.1,C90.0,"Scratchpad:
1. Calculate the horizontal distance between bot 1 and bot 2:
   |0.4 - 0.7| = 0.3
2. Compare the distance with 0.4:
   0.3 < 0.4
3. Since the distance is less than 0.4, rotate 90 degrees clockwise.

FINAL: C90",222,C90,C90.0,True,True,True,True,False,True,,6436.331,,True,stop,85,396,5553891000,868480000,6431289500
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,b_first,deliberative_budget_1024,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",B,B,M,"Scratchpad:
- Bot 1 shield: true
- Bot 2 shield: true
- Both shields are in the same state (both true)

FINAL: B",112,B,B,True,True,True,True,True,False,,3529.946,,True,stop,37,365,2550302000,962989000,3523531583
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,b_first,deliberative_budget_1024,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,"Scratchpad:
- Bot 1 x: 0.5
- Bot 2 x: 0.5
- Bot 1 x <= Bot 2 x: 0.5 <= 0.5 is true

FINAL: C90",94,C90,C90.0,True,True,True,True,True,False,,5120.723,,True,stop,56,383,4074423000,1031989000,5116829875
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,b_first,deliberative_budget_1024,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,"Scratchpad:
- Bot 1 x: 0.3
- Bot 2 x: 0.7
- Bot 1 x <= Bot 2 x: 0.3 <= 0.7 is true

FINAL: C90",94,C90,C90.0,True,True,True,True,True,False,,5386.429,,True,stop,56,383,4244625000,1122801000,5381818875
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,deliberative_budget_1024,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",B,B,M,"Scratchpad:
- Bot 1 shield: false
- Bot 2 shield: false
- Both shields are in the same state (both off)

FINAL: B",113,B,B,True,True,True,True,True,False,,3852.907,,True,stop,37,366,2932502000,896117000,3844062833
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_standard,Tuteo Spanish,a_first,deliberative_budget_1024,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",S0,S0,B,"Scratchpad:
- Bot 1 shield status: true (shield is on)
- Policy: If shield is on, turn it off. If shield is off, fire.

Since the shield is on, we need to turn it off.

FINAL: S0",178,S0,S0,True,True,True,True,True,False,,5803.141,,True,stop,55,355,4554672000,1214493000,5790887541
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,b_first,deliberative_budget_1024,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",B,B,S1,"Scratchpad:
- Bot 1 health: 20 (which is >= 15)
- Bot 1 shield: true (shield is on)

Since the health is 20 (>= 15) or the shield is on, the policy says to fire.

FINAL: B",171,B,B,True,True,True,True,True,False,,6691.307,,True,stop,63,377,5182217000,1483366000,6683326583
