model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,parsed_kind,parsed_value,valid,action_family_correct,parameter_correct,command_correct,executable_correct,diagnostic_command,diagnostic_method,diagnostic_command_correct,failure_class,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-015,parameterised,naturalistic,es_rioplatense,Rioplatense Spanish,Avanzá exactamente 0.15.,M0.15,M0.15,M0.15,move,0.15,True,True,True,True,True,M0.15,strict,True,correct,22644.498,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-015,parameterised,naturalistic,es_standard,standardised Spanish,Avanza exactamente 0.15.,M0.15,M0.15,M0.15,move,0.15,True,True,True,True,True,M0.15,strict,True,correct,1303.906,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-015,parameterised,naturalistic,en,English,Advance exactly 0.15.,M0.15,M0.15,M0.15,move,0.15,True,True,True,True,True,M0.15,strict,True,correct,1270.975,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-opponent-low-health,state_conditioned,naturalistic,en,English,The opponent has only 5 health left and your shield is down. Fire.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,1141.526,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-opponent-low-health,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,Al rival le quedan solo 5 puntos de salud y tenés el escudo bajo. Dispará.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,786.856,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-opponent-low-health,state_conditioned,naturalistic,es_standard,standardised Spanish,Al rival solo le quedan 5 puntos de salud y tienes el escudo bajo. Dispara.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,800.978,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-left,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tu coordenada x es mayor que 0.7, gira 90 grados en sentido antihorario; si no, avanza 0.1.",M0.1,A90,A90.0,rotate_ccw,90.0,True,False,False,False,False,A90.0,strict,False,action_error,2252.895,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-left,state_conditioned,clause_level_voseo,en,English,"If your x coordinate is above 0.7, turn counterclockwise 90 degrees; otherwise move forward 0.1.",M0.1,A90,A90.0,rotate_ccw,90.0,True,False,False,False,False,A90.0,strict,False,action_error,1145.715,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-left,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que 0.7, girá 90 grados en sentido antihorario; si no, avanzá 0.1.",M0.1,A0,A0.0,rotate_ccw,0.0,True,False,False,False,False,A0.0,strict,False,action_error,1363.823,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-hold-shield,state_conditioned,naturalistic,es_standard,standardised Spanish,Tienes el escudo bajo y 8 puntos de salud. Levanta el escudo.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,2342.576,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-hold-shield,state_conditioned,naturalistic,en,English,Your shield is down and your health is 8. Raise the shield.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,950.102,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-hold-shield,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,Tenés el escudo bajo y 8 puntos de salud. Levantá el escudo.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,905.961,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-180,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 180 grados en sentido antihorario.,A180.0,A180,A180.0,rotate_ccw,180.0,True,True,True,True,True,A180.0,strict,True,correct,2456.091,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-180,parameterised,minimal_morphology,en,English,Turn counterclockwise 180 degrees.,A180.0,A180,A180.0,rotate_ccw,180.0,True,True,True,True,True,A180.0,strict,True,correct,1233.015,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-180,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 180 grados en sentido antihorario.,A180.0,A180,A180.0,rotate_ccw,180.0,True,True,True,True,True,A180.0,strict,True,correct,1242.203,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-down,state_conditioned,naturalistic,en,English,Your shield is already down. Fire now.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,816.712,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-down,state_conditioned,naturalistic,es_standard,standardised Spanish,Ya tienes el escudo bajo. Dispara ahora.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,785.14,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-down,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,Ya tenés el escudo bajo. Dispará ahora.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,765.932,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-up,state_conditioned,clause_level_voseo,en,English,"If the opponent has its shield raised, move forward; otherwise fire.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1198.45,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-up,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si el rival tiene el escudo levantado, avanzá; si no, dispará.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,881.841,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-up,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si el rival tiene el escudo levantado, avanza; si no, dispara.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,885.291,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-low-health,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si el rival tiene menos de 10 puntos de salud, dispara; si no, levanta el escudo.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1814.149,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-low-health,state_conditioned,clause_level_voseo,en,English,"If the opponent has less than 10 health, fire; otherwise raise the shield.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,934.05,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-low-health,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si el rival tiene menos de 10 puntos de salud, dispará; si no, levantá el escudo.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,946.205,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-down,state_conditioned,clause_level_voseo,en,English,"If the opponent has its shield raised, move forward; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1272.897,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-down,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si el rival tiene el escudo levantado, avanzá; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,905.459,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-shield-down,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si el rival tiene el escudo levantado, avanza; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,872.961,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-010,parameterised,minimal_morphology,en,English,Move forward 0.1.,M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1200.921,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-010,parameterised,minimal_morphology,es_standard,standardised Spanish,Avanza 0.1 hacia adelante.,M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1201.087,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-010,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Avanzá 0.1 hacia adelante.,M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1197.796,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,en,English,Turn clockwise 90 degrees.,C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,1144.075,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 90 grados en sentido horario.,C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,1039.218,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 90 grados en sentido horario.,C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,1037.731,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-low-health,state_conditioned,naturalistic,en,English,You only have 5 health left. Raise the shield to protect yourself.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,2610.515,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-low-health,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,Te quedan solo 5 puntos de salud. Levantá el escudo para protegerte.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,930.828,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-low-health,state_conditioned,naturalistic,es_standard,standardised Spanish,Solo te quedan 5 puntos de salud. Levanta el escudo para protegerte.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,923.457,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-high-health,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si el rival tiene menos de 10 puntos de salud, dispara; si no, levanta el escudo.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,2527.937,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-high-health,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si el rival tiene menos de 10 puntos de salud, dispará; si no, levantá el escudo.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,922.289,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-opponent-high-health,state_conditioned,clause_level_voseo,en,English,"If the opponent has less than 10 health, fire; otherwise raise the shield.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,935.068,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-right,state_conditioned,clause_level_voseo,en,English,"If your x coordinate is above 0.7, turn counterclockwise 90 degrees; otherwise move forward 0.1.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,2174.161,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-right,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tu coordenada x es mayor que 0.7, gira 90 grados en sentido antihorario; si no, avanza 0.1.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,1534.678,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-x-right,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que 0.7, girá 90 grados en sentido antihorario; si no, avanzá 0.1.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,1079.303,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-low-health,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,2459.076,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-low-health,state_conditioned,clause_level_voseo,en,English,"If your health is below 15, raise the shield; otherwise move forward.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,875.946,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-low-health,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,947.292,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-down,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",B,S,S,shield_toggle,,True,False,,False,False,S,strict,False,action_error,2393.816,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-down,state_conditioned,clause_level_voseo,en,English,"If your shield is raised, lower it; otherwise fire.",B,S,S,shield_toggle,,True,False,,False,False,S,strict,False,action_error,838.245,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-down,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",B,S,S,shield_toggle,,True,False,,False,False,S,strict,False,action_error,838.006,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-up,direct,minimal_morphology,es_rioplatense,Rioplatense Spanish,Levantá el escudo.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,955.873,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-up,direct,minimal_morphology,en,English,Raise the shield.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,974.508,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-up,direct,minimal_morphology,es_standard,standardised Spanish,Levanta el escudo.,S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,968.844,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-default,direct,minimal_morphology,en,English,Move forward.,M,M,M,move,,True,True,,True,True,M,strict,True,correct,587.496,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-default,direct,minimal_morphology,es_standard,standardised Spanish,Avanza.,M,M,M,move,,True,True,,True,True,M,strict,True,correct,689.108,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-default,direct,minimal_morphology,es_rioplatense,Rioplatense Spanish,Avanzá.,M,M,M,move,,True,True,,True,True,M,strict,True,correct,639.431,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-cw-120,parameterised,naturalistic,es_rioplatense,Rioplatense Spanish,Hacé un giro de exactamente 120 grados en sentido horario.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,1282.163,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-cw-120,parameterised,naturalistic,es_standard,standardised Spanish,Haz un giro de exactamente 120 grados en sentido horario.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,1296.768,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-cw-120,parameterised,naturalistic,en,English,Make a clockwise turn of exactly 120 degrees.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,1333.474,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-open-shield,state_conditioned,naturalistic,en,English,"The opponent is nearly defeated, but your shield is up. Lower your shield this turn.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,2049.318,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-open-shield,state_conditioned,naturalistic,es_standard,standardised Spanish,"El rival está casi derrotado, pero tienes el escudo levantado. Baja el escudo en este turno.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,941.0,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-open-shield,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,"El rival está casi derrotado, pero tenés el escudo levantado. Bajá el escudo en este turno.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,987.908,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-030,parameterised,minimal_morphology,en,English,Turn clockwise 30 degrees.,C30.0,A30,A30.0,rotate_ccw,30.0,True,False,True,False,False,A30.0,strict,False,action_error,2100.572,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-030,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 30 grados en sentido horario.,C30.0,C30,C30.0,rotate_cw,30.0,True,True,True,True,True,C30.0,strict,True,correct,1201.065,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-cw-030,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 30 grados en sentido horario.,C30.0,A<number>,ERR,invalid,,False,False,False,False,False,,,False,invalid_unrecoverable,1224.392,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-fire,direct,minimal_morphology,en,English,Fire.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,710.439,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-fire,direct,minimal_morphology,es_standard,standardised Spanish,Dispara.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,608.817,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-fire,direct,minimal_morphology,es_rioplatense,Rioplatense Spanish,Dispará.,B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,602.782,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-005,parameterised,naturalistic,en,English,Take a short step forward of 0.05.,M0.05,M0.05,M0.05,move,0.05,True,True,True,True,True,M0.05,strict,True,correct,1565.904,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-005,parameterised,naturalistic,es_standard,standardised Spanish,Avanza un paso corto de 0.05 hacia adelante.,M0.05,M0.05,M0.05,move,0.05,True,True,True,True,True,M0.05,strict,True,correct,1593.248,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-move-005,parameterised,naturalistic,es_rioplatense,Rioplatense Spanish,Avanzá un paso corto de 0.05 hacia adelante.,M0.05,M0.05,M0.05,move,0.05,True,True,True,True,True,M0.05,strict,True,correct,1546.471,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,2743.133,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,en,English,"If your health is below 15, raise the shield; otherwise move forward.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1115.196,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1035.753,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-up,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,2444.053,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-up,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,963.239,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,state-own-shield-up,state_conditioned,clause_level_voseo,en,English,"If your shield is raised, lower it; otherwise fire.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,925.293,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-020,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Avanzá 0.2 hacia adelante.,M0.2,M0.2,M0.2,move,0.2,True,True,True,True,True,M0.2,strict,True,correct,2484.689,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-020,parameterised,minimal_morphology,en,English,Move forward 0.2.,M0.2,M0.2,M0.2,move,0.2,True,True,True,True,True,M0.2,strict,True,correct,1417.818,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-move-020,parameterised,minimal_morphology,es_standard,standardised Spanish,Avanza 0.2 hacia adelante.,M0.2,M0.2,M0.2,move,0.2,True,True,True,True,True,M0.2,strict,True,correct,1467.93,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-ccw-060,parameterised,naturalistic,en,English,Make a counterclockwise turn of exactly 60 degrees.,A60.0,A60,A60.0,rotate_ccw,60.0,True,True,True,True,True,A60.0,strict,True,correct,1290.376,
