model,repeat,case_id,policy_id,tier,language,language_label,order,interface,instruction,expected_command,first_position_command,second_position_command,full_response,response_chars,scored_response,normalized_command,valid,command_correct,selected_first_position,selected_second_position,final_extraction_error,latency_ms,provider_error,ollama_done_reason,ollama_eval_count
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",S1,M,S1,FINAL: M,8,M,M,True,False,True,False,,16283.991,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2163.146,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",M,B,M,FINAL: M,8,M,M,True,True,False,True,,1461.479,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,a_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,False,True,False,,1828.429,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",B,B,M,FINAL: B,8,B,B,True,True,True,False,,1706.6,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,1878.048,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,1763.092,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",B,B,M,FINAL: M,8,M,M,True,False,False,True,,1329.107,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",S0,S0,B,FINAL: S0,9,S0,S0,True,True,True,False,,1696.26,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,1871.656,,stop,5
