model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,full_response,scored_response,normalized_command,valid,action_family_correct,parameter_correct,command_correct,executable_correct,failure_class,final_extraction_error,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,decision_complexity,D1,es_standard,Tuteo Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",M,"Scratchpad:
- Bot 1 health: 25
- 25 < 15 is False

FINAL: M",M,M,True,True,,True,True,correct,,17429.973,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,decision_complexity,D1,es_rioplatense,Rioplatense voseo,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",M,"Scratchpad:
- Bot 1 health: 25
- 25 < 15? No

FINAL: M",M,M,True,True,,True,True,correct,,2194.789,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-d,decision_complexity,D4,es_standard,Tuteo Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",B,"Scratchpad:
1. Bot 1 health: 20 (greater than 10)
2. Bot 2 shield: false
3. No condition met, so fire

FINAL: B",B,B,True,True,,True,True,correct,,4022.789,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-d,decision_complexity,D4,es_rioplatense,Rioplatense voseo,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",B,"Scratchpad:

1. Check bot 1's health: 20 (which is not less than 10)
2. Check bot 2's shield: false (not raised)
3. Since bot 1's health is not less than 10 and bot 2's shield is not raised, the policy dictates to fire.

FINAL: B",B,B,True,True,,True,True,correct,,5313.032,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_standard,Tuteo Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",B,"Scratchpad:
- Bot 1 shield status: false (shield is off)
- Policy: If shield is on, turn it off; else, fire.

Since the shield is off, the action is to fire.

FINAL: B",B,B,True,True,,True,True,correct,,4039.702,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo levantado, bajalo; si no, dispará.",B,"Let's analyze the current state and the policy:

Current state of bot 1 (me):
- health: 27
- x: 0.2
- y: 0.5
- rot: 0.0
- shield: false

Policy:
- If shield is on, set shield off
- If shield is off, fire

From the state, we can see that bot 1's shield is currently off (shield: false). According to the policy, if the shield is off, we should fire.

FINAL: B",B,B,True,True,,True,True,correct,,7650.723,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",M0.1,"Scratchpad:
- Bot 1's x: 0.2
- Bot 2's x: 0.8
- Horizontal distance: |0.8 - 0.2| = 0.6
- 0.6 >= 0.4, so move forward by 0.1

FINAL: M0.1",M0.1,M0.1,True,True,True,True,True,correct,,6170.62,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",M0.1,"Scratchpad:
- Bot 1's x: 0.2
- Bot 2's x: 0.8
- Horizontal distance: |0.8 - 0.2| = 0.6
- 0.6 >= 0.4, so move forward by 0.1

FINAL: M0.1",M0.1,M0.1,True,True,True,True,True,correct,,5696.901,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_rioplatense,Rioplatense voseo,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",S1,"Let's analyze the given state and policy step by step.

### Current State (Bot 1):
- **health**: 10
- **shield**: false
- **x**: 0.2
- **y**: 0.5
- **rot**: 0.0

### Policy:
1. **If** health is less than 15 **and** shield is off, **then** set shield on.
2. **Else**, fire.

### Analysis:
1. **health < 15**: 10 < 15 → True
2. **shield is off**: false → True
3. **Condition**: True AND True → True

Since the condition is true, we should set the shield on.

### FINAL: S1",,ERR,False,False,,False,False,final_extraction_error,"expected exactly one FINAL line, found 0",12617.879,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_standard,Tuteo Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",S1,"Scratchpad:
- Bot 1 health: 10 (less than 15)
- Bot 1 shield: false (off)
- Condition: health < 15 and shield is off → True

FINAL: S1",S1,S1,True,True,True,True,True,correct,,3976.12,
